setor_wiod_idx,nome,upstreamness,output_US_mi,percentil_global_limpo
1,Agricultura (A01),2.3679,171385,49.9
2,Silvicultura (A02),2.2175,8752,43.1
3,Pesca (A03),2.1744,4334,41.1
4,Mineracao (B),3.8223,125066,98.6
5,,1.5527,244119,16.7
6,,1.4726,62935,14.3
7,,2.8399,11150,72.3
8,Papel (C17),2.9556,28797,77.8
9,,3.0627,9218,83.4
10,Coque/refino (C19),2.7206,138170,66.1
11,,2.5444,110461,57.6
12,,1.4074,21951,12.4
13,,2.6968,42026,64.8
14,,2.4695,37578,54.3
15,Metais basicos (C24),3.1024,66693,85.0
16,,2.3364,40207,48.4
17,,1.3813,38191,11.6
18,,1.8156,30817,25.9
19,,1.6606,56867,20.1
20,,1.5242,122795,15.8
21,,1.1670,18524,5.8
22,,2.1455,52867,39.9
23,,1.0000,0,0.0
24,,2.5337,76311,57.0
25,,2.1620,23936,40.5
26,,1.0000,0,0.0
27,,1.2731,296312,8.9
28,,1.8089,61139,25.7
29,,1.9714,144978,32.6
30,,1.9709,214815,32.6
31,,2.2701,130583,45.4
32,,3.1883,7210,88.0
33,,2.4047,15949,51.6
34,,2.7331,45202,66.7
35,,1.0000,0,0.0
36,,1.3207,96114,9.8
37,,1.8701,9684,28.3
38,,3.8570,17266,98.7
39,,1.8152,72330,25.9
40,,2.0686,45678,36.4
41,,2.0269,225967,34.5
42,,1.0000,0,0.0
43,,1.0000,0,0.0
44,,1.3386,213426,10.2
45,,3.0058,74851,80.8
46,,2.1724,32346,41.0
47,,2.8851,37518,74.2
48,,1.0000,0,0.0
49,,1.0000,0,0.0
50,,2.5961,121578,60.2
51,,1.0872,295822,3.8
52,,1.1269,158210,4.9
53,,1.0596,142583,2.6
54,,1.3552,75755,10.7
55,,1.0000,25037,0.0
56,,1.0000,0,0.0
