estado,cluster,pib_share_2008_%,vazamento_%,rank_abertura,es_spillover_%
AC,,0.24,18.56,22,0.08
AP,,0.24,18.05,23,0.06
AM,,1.47,27.30,2,1.65
PA,,2.05,22.43,11,1.13
RO,,0.62,24.43,6,0.50
RR,,0.17,16.81,25,0.05
TO,,0.46,24.79,5,0.25
AL,,0.68,22.10,13,0.42
BA,,4.08,22.74,9,5.45
CE,,2.04,18.70,21,1.20
MA,,1.34,18.01,24,0.79
PB,,0.89,20.07,18,0.36
PE,,2.33,19.26,19,1.53
PI,,0.58,22.92,7,0.18
SE,,0.68,21.11,16,0.81
RN,,0.87,21.68,15,0.54
DF,,4.02,19.11,20,0.96
GO,sim,2.55,25.10,4,1.72
MT,sim,1.83,27.44,1,1.48
MS,sim,1.08,25.74,3,0.60
ES,sim,2.15,22.84,8,0.00
MG,sim,9.51,20.95,17,12.94
RJ,,11.25,15.57,26,14.73
SP,,32.04,14.20,27,37.77
PR,sim,5.99,22.28,12,6.12
SC,sim,4.15,22.48,10,3.45
RS,sim,6.68,21.79,14,5.24
