setor,pct_producao_externa
"Agricultura, silvicultura, exploração florestal",80.37
Pecuária e pesca,76.87
Mineração,96.81
"Alimentos, bebidas e fumo",69.55
"Têxtil, vestuário e calçados",67.33
"Madeira, papel e impressão",96.57
"Refino de petróleo, coque e álcool",138.56
Outros produtos químicos e farmacêuticos,93.72
Artigos de borracha e plástico,93.84
Cimento e outros produtos de minerais não-metálicos,82.04
Metalurgia,109.29
Máquinas e equipamentos,84.83
Material elétrico e eletrônicos,64.74
Material de transporte,80.19
Indústrias diversas,47.85
"Eletricidade e gás, água, esgoto e limpeza urbana",49.94
Construção,42.10
Comércio,44.27
"Transporte, armazenagem e correio",68.46
Serviços privados,37.68
Intermediação financeira e seguros,49.22
Serviços imobiliários e aluguel,16.08
Serviços de alojamento e alimentação,36.12
Educação mercantil e pública,5.29
Saúde mercantil e pública,9.65
Administração pública e seguridade social,3.44
