setor,mult_prod_I,mult_prod_II,mult_emp_I,mult_emp_II,mult_renda_I,mult_renda_II,emp_dir_Rmi,emp_ind_Rmi,lig_tras,lig_frente,PBL_idx,PFL_idx,PTL_idx,chave_RH
"Agricultura, silvicultura, exploração florestal",1.4518,1.9457,46669630.07,55592229.89,0.2061,0.2584,39.91,6.76,0.8091,0.9337,0.7726,0.9566,0.8728,0
Pecuária e pesca,1.6380,2.6036,57013784.31,74458737.51,0.4029,0.5051,42.74,14.28,0.9128,1.0813,0.2570,0.5520,0.4176,0
Mineração,1.6363,1.9765,10058539.78,16204211.03,0.1419,0.1779,1.37,8.69,0.9119,1.2275,3.5404,5.1685,4.4268,0
"Alimentos, bebidas e fumo",2.3078,2.7887,42480772.67,51167680.84,0.2006,0.2515,7.08,35.40,1.2861,0.7824,2.4210,0.4814,1.3650,0
"Têxtil, vestuário e calçados",1.8729,2.4475,67908498.06,78289323.58,0.2397,0.3006,45.49,22.42,1.0437,0.8246,0.3305,0.1071,0.2089,0
"Madeira, papel e impressão",1.9606,2.3894,21908382.35,29653988.65,0.1789,0.2243,5.89,16.02,1.0926,0.8401,1.4431,0.4111,0.8813,0
"Refino de petróleo, coque e álcool",2.1117,2.4876,21695714.25,28486778.99,0.1568,0.1966,2.74,18.96,1.1768,1.1739,0.1803,0.1602,0.1694,1
Outros produtos químicos e farmacêuticos,2.0993,2.5167,13308942.10,20848701.79,0.1741,0.2183,1.95,11.36,1.1699,1.7082,0.0387,0.6578,0.3758,1
Artigos de borracha e plástico,2.0516,2.6385,19871659.01,30474144.16,0.2448,0.3070,8.45,11.43,1.1433,1.2579,0.0625,0.1209,0.0943,1
Cimento e outros produtos de minerais não-metálicos,1.9018,2.5444,23147648.70,34757559.69,0.2681,0.3362,11.67,11.48,1.0598,1.0874,0.6572,1.0074,0.8479,1
Metalurgia,1.9590,2.3385,11326838.14,18184037.71,0.1584,0.1985,1.90,9.43,1.0917,1.2958,1.7459,4.8015,3.4094,1
Máquinas e equipamentos,2.0018,2.7062,17247540.42,29972555.01,0.2939,0.3685,7.40,9.85,1.1156,0.9333,0.3876,0.1490,0.2577,0
Material elétrico e eletrônicos,1.9907,2.6144,15450806.40,26717821.85,0.2602,0.3262,4.76,10.69,1.1094,1.1154,0.2055,0.1826,0.1931,1
Material de transporte,2.1019,2.7295,15981179.09,27319897.43,0.2618,0.3283,4.86,11.12,1.1714,1.1089,0.0740,0.0676,0.0705,1
Indústrias diversas,1.8390,2.2711,40291725.73,48097537.70,0.1803,0.2260,29.29,11.00,1.0248,0.7383,0.2789,0.0636,0.1617,0
"Eletricidade e gás, água, esgoto e limpeza urbana",1.8341,2.2289,11553376.25,18684590.43,0.1647,0.2065,2.94,8.61,1.0221,1.3245,0.3283,0.8067,0.5887,1
Construção,1.6959,2.2490,30130427.14,40122726.04,0.2308,0.2893,20.94,9.19,0.9451,0.6865,2.9356,0.6400,1.6858,0
Comércio,1.4180,2.2852,36918369.96,52583997.20,0.3618,0.4536,29.93,6.99,0.7903,0.9074,1.9754,2.1760,2.0846,0
"Transporte, armazenagem e correio",1.7741,2.5519,22414612.82,36464814.61,0.3245,0.4068,12.37,10.05,0.9887,1.2165,1.8187,2.9166,2.4164,0
Serviços privados,1.5007,2.5326,49150854.85,67792220.21,0.4305,0.5398,38.54,10.61,0.8363,1.1829,0.8995,2.8495,1.9611,0
Intermediação financeira e seguros,1.4696,2.3218,12731222.61,28126391.32,0.3555,0.4458,3.76,8.97,0.8190,1.2135,0.3203,1.0770,0.7323,0
Serviços imobiliários e aluguel,1.1462,1.2687,6254494.49,8467513.96,0.0511,0.0641,3.47,2.78,0.6388,0.6529,0.3488,0.1985,0.2670,0
Serviços de alojamento e alimentação,1.7586,2.3071,50242308.98,60151971.93,0.2288,0.2869,34.41,15.83,0.9800,0.7478,0.9637,0.2629,0.5822,0
Educação mercantil e pública,1.3100,3.1750,33607960.70,67299133.13,0.7780,0.9755,27.33,6.27,0.7301,0.5705,0.7745,0.0242,0.3660,0
Saúde mercantil e pública,1.5351,2.9043,28663614.62,53398673.23,0.5712,0.7162,17.80,10.86,0.8555,0.5699,1.2891,0.0203,0.5984,0
Administração pública e seguridade social,1.4267,2.9707,19469589.36,47361419.38,0.6441,0.8076,11.35,8.12,0.7951,0.5991,1.9509,0.1408,0.9654,0
