setor,mult_producao,retido_ES,vazado_RB,vazamento_prod_%,mult_emprego,vazamento_emprego_%,ligacao_tras,ligacao_frente,VBP
"Agricultura, silvicultura, exploração florestal",1.4518,1.1381,0.3137,21.61,46.669630,9.88,0.8091,0.6689,3910.6
Pecuária e pesca,1.6380,1.1436,0.4944,30.18,57.013784,19.37,0.9128,0.6412,1454.7
Mineração,1.6363,1.2644,0.3719,22.73,10.058540,42.38,0.9119,0.9925,16714.1
"Alimentos, bebidas e fumo",2.3078,1.4450,0.8629,37.39,42.480773,56.50,1.2861,0.6328,3488.8
"Têxtil, vestuário e calçados",1.8729,1.3466,0.5263,28.10,67.908498,17.83,1.0437,0.6387,831.6
"Madeira, papel e impressão",1.9606,1.2589,0.7018,35.79,21.908382,50.26,1.0926,0.6267,2835.3
"Refino de petróleo, coque e álcool",2.1117,1.5253,0.5864,27.77,21.695714,61.63,1.1768,0.5779,481.0
Outros produtos químicos e farmacêuticos,2.0993,1.4822,0.6172,29.40,13.308942,41.19,1.1699,0.7211,1112.1
Artigos de borracha e plástico,2.0516,1.2969,0.7546,36.78,19.871659,32.87,1.1433,0.5943,276.5
Cimento e outros produtos de minerais não-metálicos,1.9018,1.3189,0.5829,30.65,23.147649,28.18,1.0598,0.6649,2679.2
Metalurgia,1.9590,1.3859,0.5730,29.25,11.326838,49.25,1.0917,0.9728,10677.8
Máquinas e equipamentos,2.0018,1.5034,0.4984,24.90,17.247540,26.48,1.1156,0.5986,785.5
Material elétrico e eletrônicos,1.9907,1.3973,0.5934,29.81,15.450806,34.15,1.1094,0.6293,601.2
Material de transporte,2.1019,1.5530,0.5489,26.12,15.981179,29.69,1.1714,0.6279,220.2
Indústrias diversas,1.8390,1.2780,0.5609,30.50,40.291726,16.31,1.0248,0.5755,558.9
"Eletricidade e gás, água, esgoto e limpeza urbana",1.8341,1.4488,0.3853,21.01,11.553376,28.35,1.0221,0.8721,2093.9
Construção,1.6959,1.2630,0.4329,25.53,30.130427,16.06,0.9451,0.6498,6925.6
Comércio,1.4180,1.1911,0.2269,16.00,36.918370,7.57,0.7903,1.2006,10529.7
"Transporte, armazenagem e correio",1.7741,1.2359,0.5382,30.34,22.414613,23.05,0.9887,1.1001,8574.3
Serviços privados,1.5007,1.2322,0.2686,17.90,49.150855,8.38,0.8363,1.2873,8188.5
Intermediação financeira e seguros,1.4696,1.2814,0.1882,12.81,12.731223,20.61,0.8190,0.8746,2972.4
Serviços imobiliários e aluguel,1.1462,1.0860,0.0602,5.25,6.254494,12.28,0.6388,0.5987,3547.6
Serviços de alojamento e alimentação,1.7586,1.1969,0.5617,31.94,50.242309,22.16,0.9800,0.6036,2126.7
Educação mercantil e pública,1.3100,1.1580,0.1521,11.61,33.607961,7.06,0.7301,0.5631,3396.7
Saúde mercantil e pública,1.5351,1.2415,0.2936,19.13,28.663615,14.87,0.8555,0.5623,3257.4
Administração pública e seguridade social,1.4267,1.2128,0.2139,15.00,19.469589,16.04,0.7951,0.5899,6381.3
